description Crispiness weight length ferocity intelligence
TRex 0 0 0 0 0
Stegosaurus 0 0 0 0 0
Brachiosaurus 0 0 0 0 0
Velociraptor 0 0 0 0 0
Carnotaurus 0 0 0 0 0
Iguanodon 0 0 0 0 0
Megalosaurus 0 0 0 0 0
Oviraptor 0 0 0 0 0
Parasaurolophus 0 0 0 0 0
Ornithomimus 0 0 0 0 0
Protoceratops 8 0 5 0 0
Riojasaurus 2 0 0 0 0
Saurolophus 0 0 3 0 0
Styracosaurus 0 0 0 0 0
Xiaosaurus 0 0 0 0 0
Kentrosaurus 0 0 0 0 0
Aepydon 0 0 0 0 5
Cyclodromeus 0 0 0 0 0
Styracopelix 0 0 0 0 0
Camptopelta 0 0 0 0 0
Aepydonbator 1 1 1 1 1
Aviplomoloch 0 0 0 0 0
Lurdupodosaurus 0 0 0 0 0
Thescelochelomimus 0 0 0 0 0
Thecocercorex 0 0 0 0 0
Tyrannovenator 0 0 0 0 0
Agilinychus 0 0 0 0 0
Macrosuchus 0 0 0 0 0
Archaeosaurus 0 0 0 0 0
Hadrospondylus 0 0 0 0 0
Haplocephalolestes 0 0 0 0 0
Rugoscephalovenator 0 0 0 0 0
Nanorhinogryphus 0 0 0 0 0
Plateocercodromeus 0 0 0 0 0
Therizinopodogryphus 0 0 0 0 0
Brachiolodon 0 0 0 0 0
Megalodon 0 0 0 0 0
Rugospelix 0 0 0 0 0
Lophopteryx 0 0 0 0 0
Chlorodon 0 0 0 0 0
